code;collectionpointcode;label;value;value_order
LISTE_HOPITAUX_629;PCS_629;CLINIQUE ASECNA;CLINIQUE ASECNA;360
LISTE_HOPITAUX_80;PCS_80;Clinique Bilbassi;Clinique Bilbassi;362
LISTE_HOPITAUX_712;PCS_712;Clinique Cabinet  la joanne de ziguincho;Clinique Cabinet  la joanne de ziguincho;363
LISTE_HOPITAUX_178;PCS_178;clinique Camed;clinique Camed;364
LISTE_HOPITAUX_92;PCS_92;Clinique Casao;Clinique Casao;365
LISTE_HOPITAUX_715;PCS_715;Clinique Casa Urgence de Ziguinchor;Clinique Casa Urgence de Ziguinchor;366
LISTE_HOPITAUX_263;PCS_263;Clinique Charles;Clinique Charles;367
LISTE_HOPITAUX_154;PCS_154;Clinique cheick Anta DIOP;Clinique cheick Anta DIOP;368
LISTE_HOPITAUX_626;PCS_626;CLINIQUE CHEIKH AHMADOU BAMBA;CLINIQUE CHEIKH AHMADOU BAMBA;369
LISTE_HOPITAUX_60;PCS_60;Clinique Cheikh anta;Clinique Cheikh anta;370
LISTE_HOPITAUX_177;PCS_177;Clinique Cheikhoul khadim;Clinique Cheikhoul khadim;371
LISTE_HOPITAUX_491;PCS_491;Clinique Cité enseignant;Clinique Cité enseignant;372
LISTE_HOPITAUX_719;PCS_719;Clinique Commissariat de police;Clinique Commissariat de police;373
LISTE_HOPITAUX_621;PCS_621;Clinique coulibaly;Clinique coulibaly;374
LISTE_HOPITAUX_408;PCS_408;Clinique Dabakh malick;Clinique Dabakh malick;375
LISTE_HOPITAUX_481;PCS_481;Clinique de Alphonse;Clinique de Alphonse;376
LISTE_HOPITAUX_338;PCS_338;Clinique de Baba Top;Clinique de Baba Top;377
LISTE_HOPITAUX_879;PCS_879;Clinique de Bakline Paléne;Clinique de Bakline Paléne;378
LISTE_HOPITAUX_125;PCS_125;Clinique de Bamtaré;Clinique de Bamtaré;379
LISTE_HOPITAUX_339;PCS_339;Clinique de Binetou Rassoul;Clinique de Binetou Rassoul;380
LISTE_HOPITAUX_572;PCS_572;Clinique de Cathodique;Clinique de Cathodique;381
LISTE_HOPITAUX_321;PCS_321;Clinique de Diarama;Clinique de Diarama;382
LISTE_HOPITAUX_768;PCS_768;Clinique de diohine;Clinique de diohine;383
LISTE_HOPITAUX_44;PCS_44;Clinique de fara Wade de saint louis;Clinique de fara Wade de saint louis;384
LISTE_HOPITAUX_61;PCS_61;Clinique de Feu Salba Fall;Clinique de Feu Salba Fall;385
LISTE_HOPITAUX_139;PCS_139;Clinique de khadim Rassoul;Clinique de khadim Rassoul;386
LISTE_HOPITAUX_860;PCS_860;Clinique de Koudiadiene;Clinique de Koudiadiene;387
LISTE_HOPITAUX_4;PCS_4;Clinique de l'amitié;Clinique de l'amitié;388
LISTE_HOPITAUX_327;PCS_327;Clinique de Lamp fall;Clinique de Lamp fall;389
LISTE_HOPITAUX_87;PCS_87;Clinique de Lansal;Clinique de Lansal;390
LISTE_HOPITAUX_754;PCS_754;Clinique de Lansar;Clinique de Lansar;391
LISTE_HOPITAUX_140;PCS_140;Clinique de Madame Ndoye;Clinique de Madame Ndoye;392
LISTE_HOPITAUX_126;PCS_126;Clinique de major dieye;Clinique de major dieye;393
LISTE_HOPITAUX_124;PCS_124;Clinique de MI SALAM;Clinique de MI SALAM;394
LISTE_HOPITAUX_147;PCS_147;Clinique de plateau du Lac;Clinique de plateau du Lac;395
LISTE_HOPITAUX_482;PCS_482;Clinique de Plateau Médical;Clinique de Plateau Médical;396
LISTE_HOPITAUX_857;PCS_857;Clinique de Saint thérése;Clinique de Saint thérése;397
LISTE_HOPITAUX_344;PCS_344;Clinique de Sarr;Clinique de Sarr;398
LISTE_HOPITAUX_777;PCS_777;Clinique de Thierno Kandji;Clinique de Thierno Kandji;399
LISTE_HOPITAUX_343;PCS_343;Clinique de Tidiane bodian;Clinique de Tidiane bodian;400
LISTE_HOPITAUX_146;PCS_146;Clinique de Ya cheikh;Clinique de Ya cheikh;401
LISTE_HOPITAUX_43;PCS_43;Clinique Dioum de saint louis;Clinique Dioum de saint louis;402
LISTE_HOPITAUX_622;PCS_622;Clinique doctor kande;Clinique doctor kande;403
LISTE_HOPITAUX_94;PCS_94;Clinique du Cap;Clinique du Cap;404
LISTE_HOPITAUX_82;PCS_82;Clinique Ennaus;Clinique Ennaus;405
LISTE_HOPITAUX_721;PCS_721;Clinique établissement industriel de ziguinchor;Clinique établissement industriel de ziguinchor;406
LISTE_HOPITAUX_627;PCS_627;CLINIQUE EVA MARIE CAUL SECK;CLINIQUE EVA MARIE CAUL SECK;407
LISTE_HOPITAUX_417;PCS_417;CLINIQUE GABINET DR DANIORO;CLINIQUE GABINET DR DANIORO;408
LISTE_HOPITAUX_414;PCS_414;CLINIQUE GABINET MEDICAL KANDE;CLINIQUE GABINET MEDICAL KANDE;409
LISTE_HOPITAUX_113;PCS_113;Clinique Internationale;Clinique Internationale;410
LISTE_HOPITAUX_496;PCS_496;Clinique Kawsara;Clinique Kawsara;411
LISTE_HOPITAUX_490;PCS_490;Clinique KAWSARA;Clinique KAWSARA;412
LISTE_HOPITAUX_415;PCS_415;CLINIQUE KELEBANA;CLINIQUE KELEBANA;413
LISTE_HOPITAUX_492;PCS_492;Clinique KERE YIWE;Clinique KERE YIWE;414
LISTE_HOPITAUX_628;PCS_628;CLINIQUE MACHALAH;CLINIQUE MACHALAH;415
LISTE_HOPITAUX_91;PCS_91;Clinique Madelaine;Clinique Madelaine;416
LISTE_HOPITAUX_9;PCS_9;Clinique Madji;Clinique Madji;417
LISTE_HOPITAUX_282;PCS_282;CLINIQUE MAIMOUNA;CLINIQUE MAIMOUNA;418
LISTE_HOPITAUX_461;PCS_461;Clinique M. Ndiaye;Clinique M. Ndiaye;419
LISTE_HOPITAUX_782;PCS_782;Clinique Moussa Siré Thiam;Clinique Moussa Siré Thiam;420
LISTE_HOPITAUX_462;PCS_462;Clinique M. Sow;Clinique M. Sow;421
LISTE_HOPITAUX_66;PCS_66;Clinique Muhammed Fadel;Clinique Muhammed Fadel;422
LISTE_HOPITAUX_197;PCS_197;CLINIQUE NABY;CLINIQUE NABY;423
LISTE_HOPITAUX_504;PCS_504;Clinique Notre Dame de la Paix;Clinique Notre Dame de la Paix;424
LISTE_HOPITAUX_730;PCS_730;Clinique Paramédical  Saint Antoine de padoue;Clinique Paramédical  Saint Antoine de padoue;425
LISTE_HOPITAUX_95;PCS_95;Clinique Pasteur;Clinique Pasteur;426
LISTE_HOPITAUX_81;PCS_81;Clinique (Pramédical) Aida Kamoye;Clinique (Pramédical) Aida Kamoye;427
LISTE_HOPITAUX_230;PCS_230;Clinique privée;Clinique privée;428
LISTE_HOPITAUX_283;PCS_283;CLINIQUE RADA;CLINIQUE RADA;429
LISTE_HOPITAUX_144;PCS_144;Clinique Rassoul;Clinique Rassoul;430
LISTE_HOPITAUX_476;PCS_476;Clinique Sainte croix;Clinique Sainte croix;431
LISTE_HOPITAUX_90;PCS_90;Clinique Samu Social;Clinique Samu Social;432
LISTE_HOPITAUX_155;PCS_155;Clinique SOS CARDIO;Clinique SOS CARDIO;433
LISTE_HOPITAUX_42;PCS_42;Clinique Suma assistance de saint louis;Clinique Suma assistance de saint louis;434
LISTE_HOPITAUX_463;PCS_463;Clinique Sy;Clinique Sy;435
LISTE_HOPITAUX_495;PCS_495;Clinique Tahibou diouf;Clinique Tahibou diouf;436
LISTE_HOPITAUX_516;PCS_516;Clinique Thengori  arrondissement (djikesse);Clinique Thengori  arrondissement (djikesse);437
LISTE_HOPITAUX_515;PCS_515;Clinique Thengori transgambiene;Clinique Thengori transgambiene;438
LISTE_HOPITAUX_172;PCS_172;Clinique Ya yassine;Clinique Ya yassine;439
LISTE_HOPITAUX_473;PCS_473;Croix Rouge;Croix Rouge;440
LISTE_HOPITAUX_884;PCS_884;Croix-Rouge;Croix-Rouge;441
LISTE_HOPITAUX_170;PCS_170;Dispensaire chez Camara;Dispensaire chez Camara;442
LISTE_HOPITAUX_280;PCS_280;Dispensaire de la mission catholique;Dispensaire de la mission catholique;443
LISTE_HOPITAUX_720;PCS_720;Dispensaire de santhiaba;Dispensaire de santhiaba;444
LISTE_HOPITAUX_600;PCS_600;Dispensaire Municipal de Tam;Dispensaire Municipal de Tam;445
LISTE_HOPITAUX_599;PCS_599;Dispensaire Municipal de Tambacounda;Dispensaire Municipal de Tambacounda;446
LISTE_HOPITAUX_781;PCS_781;District sanitaire de Birkilane;District sanitaire de Birkilane;447
LISTE_HOPITAUX_11;PCS_11;District sanitaire de Podor;District sanitaire de Podor;448
LISTE_HOPITAUX_617;PCS_617;District sanitaire de vélingara;District sanitaire de vélingara;449
LISTE_HOPITAUX_773;PCS_773;Hôpital de Bedouin;Hôpital de Bedouin;450
LISTE_HOPITAUX_774;PCS_774;Hôpital de Dalal Diam;Hôpital de Dalal Diam;451
LISTE_HOPITAUX_158;PCS_158;Hôpital de DixiŠme;Hôpital de DixiŠme;452
LISTE_HOPITAUX_270;PCS_270;Hôpital de Gandiaye;Hôpital de Gandiaye;453
LISTE_HOPITAUX_226;PCS_226;Hôpital de Gossas;Hôpital de Gossas;454
LISTE_HOPITAUX_345;PCS_345;Hôpital de Ibrahim Niass;Hôpital de Ibrahim Niass;455
LISTE_HOPITAUX_86;PCS_86;Hopital de Keur Massar;Hopital de Keur Massar;456
LISTE_HOPITAUX_637;PCS_637;Hopital de la paix de Ziguinchor;Hopital de la paix de Ziguinchor;457
LISTE_HOPITAUX_709;PCS_709;Hôpital de la paix de Ziguinchor;Hôpital de la paix de Ziguinchor;458
LISTE_HOPITAUX_51;PCS_51;hôpital de Lubké;hôpital de Lubké;459
LISTE_HOPITAUX_331;PCS_331;Hôpital de Mbacké;Hôpital de Mbacké;460
LISTE_HOPITAUX_138;PCS_138;Hôpital de Pikine;Hôpital de Pikine;461
LISTE_HOPITAUX_755;PCS_755;Hôpital de Pikine;Hôpital de Pikine;462
LISTE_HOPITAUX_135;PCS_135;Hôpital de Roi bodin;Hôpital de Roi bodin;463
LISTE_HOPITAUX_123;PCS_123;Hôpital de ROI BODIN;Hôpital de ROI BODIN;464
LISTE_HOPITAUX_83;PCS_83;Hopital de Thiaroy;Hopital de Thiaroy;465
LISTE_HOPITAUX_192;PCS_192;HOPITAL DE YOUSSOU BARGANE;HOPITAL DE YOUSSOU BARGANE;466
LISTE_HOPITAUX_287;PCS_287;Hôpital El hadji amadou sahir mbaye;Hôpital El hadji amadou sahir mbaye;467
LISTE_HOPITAUX_153;PCS_153;Hopital fann;Hopital fann;468
LISTE_HOPITAUX_129;PCS_129;Hopital Gaspard Camara de Dakar;Hopital Gaspard Camara de Dakar;469
LISTE_HOPITAUX_2;PCS_2;Hôpital général Grand Yoff Idrissa Pouye;Hôpital général Grand Yoff Idrissa Pouye;472
LISTE_HOPITAUX_67;PCS_67;Hôpital Grand Mbour;Hôpital Grand Mbour;473
LISTE_HOPITAUX_722;PCS_722;Hôpital Infirmerie  camp militaire;Hôpital Infirmerie  camp militaire;474
LISTE_HOPITAUX_347;PCS_347;Hôpital Institut d'hygiéne social;Hôpital Institut d'hygiéne social;475
LISTE_HOPITAUX_89;PCS_89;Hôpital le Dantec;Hôpital le Dantec;476
LISTE_HOPITAUX_285;PCS_285;Hôpital Maguette  lo;Hôpital Maguette  lo;477
LISTE_HOPITAUX_188;PCS_188;Hôpital Mame Abdou;Hôpital Mame Abdou;478
LISTE_HOPITAUX_302;PCS_302;Hôpital principal;Hôpital principal;479
LISTE_HOPITAUX_93;PCS_93;Hôpital Principal;Hôpital Principal;480
LISTE_HOPITAUX_306;PCS_306;Hôpital régional de kaffrine;Hôpital régional de kaffrine;481
LISTE_HOPITAUX_262;PCS_262;Hôpital régional de kolda;Hôpital régional de kolda;482
LISTE_HOPITAUX_322;PCS_322;Hôpital Régional de Matam;Hôpital Régional de Matam;483
LISTE_HOPITAUX_157;PCS_157;Hôpital Régional de Thiés;Hôpital Régional de Thiés;484
LISTE_HOPITAUX_636;PCS_636;Hopital regional de ZIGUINCHOR;Hopital regional de ZIGUINCHOR;485
LISTE_HOPITAUX_708;PCS_708;Hôpital régional de ziguinchor;Hôpital régional de ziguinchor;486
LISTE_HOPITAUX_228;PCS_228;Hôpital Régional fatick;Hôpital Régional fatick;487
LISTE_HOPITAUX_200;PCS_200;Hôpital Saint Jean de Dieu;Hôpital Saint Jean de Dieu;488
LISTE_HOPITAUX_567;PCS_567;Hopital Thiaroye;Hopital Thiaroye;489
LISTE_HOPITAUX_639;PCS_639;Infirmerie camp militaire de Ziguinchor;Infirmerie camp militaire de Ziguinchor;490
LISTE_HOPITAUX_723;PCS_723;Maternité Belfort;Maternité Belfort;491
LISTE_HOPITAUX_638;PCS_638;Maternité belfort de Ziguinchor;Maternité belfort de Ziguinchor;492
LISTE_HOPITAUX_641;PCS_641;Maternité  Bernadette la Croix;Maternité  Bernadette la Croix;493
LISTE_HOPITAUX_724;PCS_724;Maternité boucotte sud;Maternité boucotte sud;494
LISTE_HOPITAUX_640;PCS_640;Maternité boukotte sud de Ziguinchor;Maternité boukotte sud de Ziguinchor;495
LISTE_HOPITAUX_667;PCS_667;Maternité de Bango;Maternité de Bango;496
LISTE_HOPITAUX_725;PCS_725;Maternité de Bernadette la croix;Maternité de Bernadette la croix;497
LISTE_HOPITAUX_701;PCS_701;Maternité de bloc;Maternité de bloc;498
LISTE_HOPITAUX_88;PCS_88;Maternité de Boune;Maternité de Boune;499
LISTE_HOPITAUX_171;PCS_171;Maternité de Dalifort;Maternité de Dalifort;500
LISTE_HOPITAUX_702;PCS_702;Maternité de diendé;Maternité de diendé;501
LISTE_HOPITAUX_635;PCS_635;Maternité de Ediamath;Maternité de Ediamath;502
LISTE_HOPITAUX_726;PCS_726;Maternité de grand Dakar;Maternité de grand Dakar;503
LISTE_HOPITAUX_642;PCS_642;Maternité de grand dakar de Ziguinchor;Maternité de grand dakar de Ziguinchor;504
LISTE_HOPITAUX_643;PCS_643;Maternité de kandé de ZIguinchor;Maternité de kandé de ZIguinchor;505
LISTE_HOPITAUX_668;PCS_668;Maternité de Khor ;Maternité de Khor ;506
LISTE_HOPITAUX_728;PCS_728;Maternité de  lyndiane;Maternité de  lyndiane;507
LISTE_HOPITAUX_645;PCS_645;Maternité de lyndiane de Ziguinchor;Maternité de lyndiane de Ziguinchor;508
LISTE_HOPITAUX_633;PCS_633;Maternité de Mlomp;Maternité de Mlomp;509
LISTE_HOPITAUX_634;PCS_634;Maternité de Mlomp kewaguir;Maternité de Mlomp kewaguir;510
LISTE_HOPITAUX_729;PCS_729;Maternité de nema;Maternité de nema;511
LISTE_HOPITAUX_662;PCS_662;Maternité de Ngallele;Maternité de Ngallele;512
LISTE_HOPITAUX_695;PCS_695;Maternité de Ngoye;Maternité de Ngoye;513
LISTE_HOPITAUX_865;PCS_865;Maternité de Pire;Maternité de Pire;514
LISTE_HOPITAUX_598;PCS_598;Maternité de Tambacounda;Maternité de Tambacounda;515
LISTE_HOPITAUX_700;PCS_700;Maternité de tourécounda;Maternité de tourécounda;516
LISTE_HOPITAUX_85;PCS_85;Maternité de Yeumbeul;Maternité de Yeumbeul;517
LISTE_HOPITAUX_3;PCS_3;Maternité Grand Yoff 1;Maternité Grand Yoff 1;518
LISTE_HOPITAUX_727;PCS_727;Maternité Kande de Ziguinchor;Maternité Kande de Ziguinchor;519
LISTE_HOPITAUX_189;PCS_189;Maternité Médine;Maternité Médine;520
