value_order;code;label;value
500;PROFESSION_1_92;assistant(e) sanitaire;assistant(e) sanitaire
500;PROFESSION_1_93;assistant(e) dentiste;assistant(e) dentiste
500;PROFESSION_1_94;docteur en économie;docteur en économie
500;PROFESSION_1_95;agent(e) spécialisé(e);agent(e) spécialisé(e)
500;PROFESSION_1_96;assistant(e) de fret;assistant(e) de fret
500;PROFESSION_1_97;assistant(e) des pva;assistant(e) des pva
500;PROFESSION_1_98;assistant(e) médical(e);assistant(e) médical(e)
500;PROFESSION_1_99;assistant(e) de PVA;assistant(e) de PVA
500;PROFESSION_1_100;assistant(e) météo;assistant(e) météo
500;PROFESSION_1_101;assistant(e) en pharmacie;assistant(e) en pharmacie
500;PROFESSION_1_102;assistant(e) social(e);assistant(e) social(e)
500;PROFESSION_1_103;assistant(e) PVA;assistant(e) PVA
500;PROFESSION_1_104;assistant(e) vétérinaire;assistant(e) vétérinaire
500;PROFESSION_1_105;astrologue;astrologue
500;PROFESSION_1_106;attache(e) administratif(ve);attache(e) administratif(ve)
500;PROFESSION_1_107;attache(e) d'intendance;attache(e) d'intendance
500;PROFESSION_1_108;audiologiste;audiologiste
500;PROFESSION_1_109;auteur compositeur;auteur compositeur
500;PROFESSION_1_129;personnel de service;personnel de service
500;PROFESSION_1_141;cadre infirmier(e);cadre infirmier(e)
500;PROFESSION_1_149;employé(e) administratif(ve);employé(e) administratif(ve)
500;PROFESSION_1_182;avocat(e);avocat(e)
500;PROFESSION_1_184;baby-sitter;baby-sitter
500;PROFESSION_1_185;bactériologiste;bactériologiste
500;PROFESSION_1_186;balayeur(se);balayeur(se)
500;PROFESSION_1_187;barbier;barbier
500;PROFESSION_1_188;barman;barman
500;PROFESSION_1_189;batelier;batelier
500;PROFESSION_1_190;berger(e) - garde-animaux;berger(e) - garde-animaux
500;PROFESSION_1_191;bibliothécaire;bibliothécaire
500;PROFESSION_1_192;documentalistes;documentalistes
500;PROFESSION_1_193;bijoutier, joaillier, orfèvre;bijoutier, joaillier, orfèvre
500;PROFESSION_1_194;billeteur(se);billeteur(se)
500;PROFESSION_1_195;biochimiste;biochimiste
500;PROFESSION_1_196;biographe;biographe
500;PROFESSION_1_197;biologiste;biologiste
500;PROFESSION_1_198;biophysicien(ne);biophysicien(ne)
500;PROFESSION_1_199;blanchisseur;blanchisseur
500;PROFESSION_1_200;botaniste;botaniste
500;PROFESSION_1_201;boucher(e);boucher(e)
500;PROFESSION_1_202;boulanger(e);boulanger(e)
500;PROFESSION_1_203;boutefeux;boutefeux
500;PROFESSION_1_204;boutiquier(e);boutiquier(e)
500;PROFESSION_1_206;non applicable;non applicable
500;PROFESSION_1_207;brigadier(e);brigadier(e)
500;PROFESSION_1_208;brigadier(e) chef;brigadier(e) chef
500;PROFESSION_1_209;brodeur(se);brodeur(se)
500;PROFESSION_1_210;bucheron(ne);bucheron(ne)
500;PROFESSION_1_211;cadre comptable;cadre comptable
500;PROFESSION_1_212;cadre moyen de la documentation;cadre moyen de la documentation
